"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","HTTP","",""
"pre_128cipher","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","app.maestro.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"SSLv3","app.maestro.beta.gouv.fr/185.21.194.105","443","OK","not offered","",""
"TLS1","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_1","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"TLS1_2","app.maestro.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"TLS1_3","app.maestro.beta.gouv.fr/185.21.194.105","443","OK","offered with final","",""
"ALPN_HTTP2","app.maestro.beta.gouv.fr/185.21.194.105","443","OK","h2","",""
"ALPN","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","http/1.1","",""
"cipherlist_NULL","app.maestro.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","app.maestro.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","app.maestro.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","app.maestro.beta.gouv.fr/185.21.194.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"cipherlist_STRONG_FS","app.maestro.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"cipher_order-tls1_2","app.maestro.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"cipherorder_TLSv1_2","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","app.maestro.beta.gouv.fr/185.21.194.105","443","OK","server","",""
"FS","app.maestro.beta.gouv.fr/185.21.194.105","443","OK","offered","",""
"FS_ciphers","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","app.maestro.beta.gouv.fr/185.21.194.105","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","app.maestro.beta.gouv.fr/185.21.194.105","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","yes","",""
"sessionresumption_ticket","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"sessionresumption_ID","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","not supported","",""
"TLS_timestamp","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","random","",""
"certificate_compression","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","none","",""
"clientAuth","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","none","",""
"cert_numbers","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","1","",""
"cert_signatureAlgorithm","app.maestro.beta.gouv.fr/185.21.194.105","443","OK","SHA256 with RSA","",""
"cert_keySize","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","06F8AED7FEEF4ADDDF761A590BEA51C58D43","",""
"cert_serialNumberLen","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","18","",""
"cert_fingerprintSHA1","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","F0084B160D2862B7B083035062B6CA5DB44621D1","",""
"cert_fingerprintSHA256","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","88069A3158C6A5396EF352BBB637D5A0BBFC1488143ACF60D8204877E7E03E6F","",""
"cert","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFCzCCA/OgAwIBAgISBviu1/7vSt3fdhpZC+pRxY1DMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNZUjEwHhcNMjYwODIyMTI0MTM4WhcNMjYxMTIwMTI0MTM3WjAjMSEwHwYDVQQDExhhcHAubWFlc3Ryby5iZXRhLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDEwG7Cyv0sZoB/vNZ5brF8MFV0hVed2Fmx0DGCNkjs5UFHj164vyMbkxbdpsZRyJ5ay7o68uCxqPkhcYrSHTBgDU/Ol1JDCQt/1ub4p6cl+qUDcVqJHEMR+6BRm7ja9EU+EthjuDhRR6VhT+fETYvB3NRHw/VrpztuVtKDtwsHVAte/Hb0rLdHW6fd8ESYXSc3e/rvfSa1N5SWOK8yGC/CGwPnqCnuRQxORXbTgIj6a62N4xrf88yUKPqRgbx1hFG7Ax5tM2RiWmTchsvh5eqkA31AcwjCcoC1M3G0W2djRkLE0uC69YMaYxFinoUwgJ0ClhytOnIv21RJ3E7MtkgnAgMBAAGjggInMIICIzAOBgNVHQ8BAf8EBAMCBaAwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUeV5LpCinqMWcq/ybHWG9jkIgE1owHwYDVR0jBBgwFoAUHy81vkYUgs1Asa55LFV4+vfUaPswMwYIKwYBBQUHAQEEJzAlMCMGCCsGAQUFBzAChhdodHRwOi8veXIxLmkubGVuY3Iub3JnLzAjBgNVHREEHDAaghhhcHAubWFlc3Ryby5iZXRhLmdvdXYuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwLgYDVR0fBCcwJTAjoCGgH4YdaHR0cDovL3lyMS5jLmxlbmNyLm9yZy82OC5jcmwwggENBgorBgEEAdZ5AgQCBIH+BIH7APkAdwCvZ4g7V7BO3Y+m2X72LqjrgQrHcWDwJF5V1gwv54WHOgAAAaAps0LAAAAEAwBIMEYCIQChg8llEQ16w2myLe57OcZku+/p9HbqK9M6bxfEnlZK1wIhAM524iMFCY6IGu0+WBb2nSed5wzJ7VZA2vDWQhOMGJp4AH4AJuNkblhpISO8ND9HJDWbN5LNJFqI2BXTkzP9mRirRyMAAAGgKbM7tgAIAAAFADeTuYAEAwBHMEUCIQCOz8Rg+3xsO2ZUwRcrPxs3nXDLX8y6lx2CIdzyeq+LagIgI6zsnX8J/cx4oH6esR0jBxicHpBIEMrgPgeGMVu0250wDQYJKoZIhvcNAQELBQADggEBAI5tRr77z3SRm+/zVdtTBdSQe6Z7vyvPxXBkSxTj/Kc5H6212cbXiGUns8zbqYClA3b6l92A5x9ThFpxfhrWn6b3YI/BfCMUgmuqCKBwPmGNU5i0RmBVu/pBIoZT6f3K588hDQ9LNC8B9R+VN0q8O4N892SXx42ifeZsLtpivByqzgqrjF5WzrCKJhNCkQtdrz4PtDQDaPYjt+u5b2dG6EwhH5+Oy0wywaClUDRroUnD4BdSgwdDF/G88wIN6JidydV3SRhOK2P+kmo7a7j0onWl/WeaJ3kSv2Q0fHW99FbCJJx/TamzR8WjDGh8XjTe4lIPDyxxGbw3J/4jzQIYAM0=\n-----END CERTIFICATE-----","",""
"cert_commonName","app.maestro.beta.gouv.fr/185.21.194.105","443","OK","app.maestro.beta.gouv.fr","",""
"cert_commonName_wo_SNI","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","*.osc-secnum-fr1.scalingo.io","",""
"cert_subjectAltName","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","app.maestro.beta.gouv.fr","",""
"cert_trust","app.maestro.beta.gouv.fr/185.21.194.105","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","app.maestro.beta.gouv.fr/185.21.194.105","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","app.maestro.beta.gouv.fr/185.21.194.105","443","OK","passed.","",""
"cert_certificatePolicies_EV","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","no","",""
"cert_expirationStatus","app.maestro.beta.gouv.fr/185.21.194.105","443","OK","82 >= 30 days","",""
"cert_notBefore","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","2026-08-22 12:41","",""
"cert_notAfter","app.maestro.beta.gouv.fr/185.21.194.105","443","OK","2026-11-20 12:41","",""
"cert_extlifeSpan","app.maestro.beta.gouv.fr/185.21.194.105","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","not present","",""
"cert_crlDistributionPoints","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","http://yr1.c.lencr.org/68.crl","",""
"cert_ocspURL","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","--","",""
"OCSP_stapling","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","not offered","",""
"cert_mustStapleExtension","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","--","",""
"DNS_CAArecord","app.maestro.beta.gouv.fr/185.21.194.105","443","LOW","--","",""
"certificate_transparency","app.maestro.beta.gouv.fr/185.21.194.105","443","OK","yes (certificate extension)","",""
"certs_countServer","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","3","",""
"certs_list_ordering_problem","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","no","",""
"cert_caIssuers","app.maestro.beta.gouv.fr/185.21.194.105","443","INFO","YR1 (Let's Encrypt from US)","",""
