"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","compl-alim.beta.gouv.fr/91.208.207.184","443","INFO","HTTP","",""
"pre_128cipher","compl-alim.beta.gouv.fr/91.208.207.184","443","INFO","No 128 cipher limit bug","",""
"SSLv2","compl-alim.beta.gouv.fr/91.208.207.184","443","OK","not offered","",""
"SSLv3","compl-alim.beta.gouv.fr/91.208.207.184","443","OK","not offered","",""
"TLS1","compl-alim.beta.gouv.fr/91.208.207.184","443","INFO","not offered","",""
"TLS1_1","compl-alim.beta.gouv.fr/91.208.207.184","443","INFO","not offered","",""
"TLS1_2","compl-alim.beta.gouv.fr/91.208.207.184","443","OK","offered","",""
"TLS1_3","compl-alim.beta.gouv.fr/91.208.207.184","443","OK","offered with final","",""
"ALPN","compl-alim.beta.gouv.fr/91.208.207.184","443","INFO","http/1.1","",""
"cipherlist_NULL","compl-alim.beta.gouv.fr/91.208.207.184","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","compl-alim.beta.gouv.fr/91.208.207.184","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","compl-alim.beta.gouv.fr/91.208.207.184","443","OK","not offered","","CWE-327"
"cipherlist_LOW","compl-alim.beta.gouv.fr/91.208.207.184","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","compl-alim.beta.gouv.fr/91.208.207.184","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","compl-alim.beta.gouv.fr/91.208.207.184","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","compl-alim.beta.gouv.fr/91.208.207.184","443","INFO","not offered","",""
"cipherlist_STRONG_FS","compl-alim.beta.gouv.fr/91.208.207.184","443","OK","offered","",""
"cipher_order-tls1_2","compl-alim.beta.gouv.fr/91.208.207.184","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","compl-alim.beta.gouv.fr/91.208.207.184","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
